title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
애송이버거,띠용띠용!!,,애송이버거,,,,
장로강아지 ,오!! 무사히 돌아오셨군요! 해적버거님도 다시보니 반갑네요. 허허허,,장로강아지 ,,,,
해적버거 ,지난번에는 그냥 가버려서 미안..,해적버거 ,,장로강아지 ,,,
장로강아지 ,괜찮습니다. 다시 와주실줄 알고 있었습니다.,해적버거 ,,장로강아지 ,,,
기사버거,장로님 오리지날이 어디있는지 찾았습니다.,해적버거 ,기사버거,장로강아지 ,,,
나레이션,기사버거는 해적버거와 있던일을 설명했다.,해적버거 ,기사버거,장로강아지 ,,,
장로강아지,그러면 이제 그 마무스타치라는 섬이 마지막 여정이 되시겠군요..,해적버거 ,기사버거,장로강아지 ,,,
기사버거,"네, 아마 그렇게 되겠죠. 그렇게되면 여러분들과도 작별이네요...저희는 오리지날과 하나가 되니..",해적버거 ,기사버거,장로강아지 ,,,
장로강아지,허허허 마지막이라뇨! 여기 계신 버거님들도 모두 버거님 아닙니까? 한몸이 되셔도 저희와 함께 하시는건 변함이 없으십니다!,해적버거 ,기사버거,장로강아지 ,,,
메이드버거,장로님...,,메이드버거,,,,
징맘,맞아요! 똥강아지들 각자 좋아하는 인격은 달라도 결국 본질은 버거님을 좋아하고 있는거니까요!! 참고로 저는 기네스 버거님이...(깡) 으악!!,,징맘,,,,
