title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
메이드버거,어이쿠! 잡았다! 제가 잡았어요 징맘님!,,메이드버거,,,,
징맘,가..감사합니다..헉..헉..죽는 줄 알았네요..,메이드버거,,똥강아지,,,
기사버거,잠깐만요...혹시..이 사람..,,기사버거,,,,
장로강아지,네..맞습니다..애송이 버거님이십니다..,기사버거,,장로강아지,,,
기네스버거,뭐라고?! 이번엔 이거 완전 날로 먹었네~,기네스버거,,장로강아지,,,
장로강아지,근데 처음 만났을때도 그랬지만 도통 무슨 말씀 하시는지 알아들을 수가 없어서..참으로 곤란합니다;; 그래서 부탁도 못드렸지만요..어린애이기도 하구요..,기네스버거,,장로강아지,,,
애송이버거,띠용띠용!,기네스버거,애송이버거,장로강아지,,,
메이드버거,응? 뭐라고? 반갑다고? 그래 나도 반가워 애송이 버거야..ㅎㅎ,메이드버거,애송이버거,장로강아지,,,
장로강아지,?! 메이드버거님 지금 애송이 버거님의 말을 알아들으신 겁니까..?,메이드버거,애송이버거,장로강아지,,,
메이드버거,네..? 네..여렴풋이 어떤말을 하는지 알겠는데요..?,메이드버거,애송이버거,장로강아지,,,
장로강아지,혹시 다른 버거님들은 알아들으시겠나요..?,메이드버거,애송이버거,장로강아지,,,
기사버거,저는 잘...,,기사버거,,,,
기네스버거,나도 띠용띠용으로 밖에는 안들리는걸,,기네스버거,,,,
밥버거,저도 마찬가지 입니다...,,밥버거,,,,
메이드버거,저만 알아들을 수 있나보네요...신기해라..,,메이드버거,,,,
장로강아지,이유는 모르겠으나 아무튼 다행이네요. 그동안 무슨 말씀을 하시는지 도통 알아먹을 수가 없고 맨날 뛰어다니기만 하셔가지고..,,장로강아지,,,,
기네스버거,근데 이녀석은 어쩌다 여기있는거야? 이 꼬맹이도 마을 밖으로 나간거 아니였어?,기네스버거,애송이버거,장로강아지,,,
장로강아지,그게 여러분들이 밥버거님을 찾으러 떠나고 얼마지나지 않아 마을로 돌아오셨습니다.,기네스버거,애송이버거,장로강아지,,,
기사버거,스스로 돌아왔다구요..?,,기사버거,,,,
장로강아지,그렇습니다..그리고 꼭 무언가에 도망치듯이 급하게 달려서 오더군요..이유를 알고 싶어도 말이 통하질 않으니 그동안 여쭤봐도 소용이 없었는데 이제 알 수 있겠군요..,,장로강아지,,,,
메이드버거,애송이야 혹시 뭐때문에 다시 돌아왔는지 알려줄수 있겠니?,메이드버거,,애송이버거,,,
애송이버거,띠용띠용! 워익워익! 띠용띠용! 워익워익!,메이드버거,,애송이버거,,,
기네스버거,뭐...라고...하는거야..?,메이드버거,기네스버거,애송이버거,,,
메이드버거,음...마을을 나가서 여기저기 돌아다니다가..키가 300M가 되는 거인을 만나서 다시 이곳으로 도망쳐 왔다고 하는데요..?,메이드버거,기네스버거,애송이버거,,,
기네스버거,아니 세상에 300M 거인이 어딨다고 그래?,메이드버거,기네스버거,애송이버거,,,
징맘,음...있을 수도 있겠네요...안그래도 요 며칠동안 지진이 빈번하게 발생했습니다..그리고 이건 애송이버거님을 찾다가 들은 정보인데 거인을 봤다는 사람들도 다수 있었거든요..,,똥강아지,,,,
애송이버거,띠..!!띠용띠용!! 띠용띠용!!,메이드버거,기네스버거,애송이버거,,,
메이드버거,녀석이 가까워졌다고 빨리 도망가야된다고 하는데요..? 어쩌죠..? 진짜 거인이면 너무 무서운데...ㅠㅠ,메이드버거,기네스버거,애송이버거,,,
기네스버거,뭐하러 도망가! 전부다 때려 눕히면 그만이지! 설령 진짜 거인이라고 해도 우리들이 힘을 합치면 한주먹거리도 안되지!,메이드버거,기네스버거,애송이버거,,,
기사버거,맞습니다. 어쨌든 거인같이 위험한걸 이 세상에 풀어놓을 수도 없고 말이죠.,,기사버거,,,,
메이드버거,결국 또 싸우러가는 건가요..ㅠㅠ,,메이드버거,,,,
밥버거,그럼 나도 뒤에서 최대한 지원하겠네!,,밥버거,,,,
애송이버거,띠용띠용!!,,애송이버거,,,,
메이드버거,너도 가겠다고..? 그치만 너무 위험할거같은데...나도 무서운데..,메이드버거,,애송이버거,,,
애송이버거,워익워익!!,메이드버거,,애송이버거,,,
메이드버거,알았어..데리고 갈게...,메이드버거,,애송이버거,,,
기네스버거,근데 그게 어딨는줄 알고 찾아가냐..?,메이드버거,기네스버거,애송이버거,,,
