title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
아이네,"<?sfx=[아이네]버거야>버거들 미안 미안, 우리 뚤기가 많이 놀라게 했지? 모자라 보여도 다들 착한 애들이야.",기사버거,,아이네,,,
기사버거,"아이네님, 둘기분을 보내 주셔서 감사합니다 둘기분이 아니였으면 정말 큰일이 났을거에요.",기사버거,,아이네,,,
메이드버거,정말 다시는 경험하고 싶지 않아요..,,메이드버거,,,,
기사버거,아이네님 저희가 이 곳에 온 이유를 아시겠죠.,기사버거,,아이네,,,
아이네,"<?sfx=[아이네] ﻿오 그럴까>맞아, 밥버거 교수님을 만나러 온 거지? 교수님을 처음 만났을 땐 정말 깜짝 놀랐다니까?",기사버거,,아이네,,,
기사버거,저희가 밥버거님을 좀 만날 수 있을까요?,기사버거,,아이네,,,
아이네,<?sfx=[아이네] ﻿아니 뭔 소리야 징버거~>그건 교수님의 의견을 들어봐야 되지 않을까? 난 본인의 의사가 가장 중요하다고 생각해.,기사버거,,아이네,,,
기사버거,그렇군요. 그럼 밥버거님이 여기에 오신 이유라도 알 수 있을까요?,기사버거,,아이네,,,
아이네,그건....,기사버거,,아이네,,,
기사버거,부탁드립니다!,기사버거,,아이네,,,
아이네,"교수님의 의견도 들어봐야 되고, 기사버거도 이해가 되는데..어떻게 하지...",기사버거,,아이네,,,
