title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,징맘님~!,기사버거,메이드버거,똥강아지,,,
메이드버거,안녕하세요..징맘님..,기사버거,메이드버거,똥강아지,,,
징맘,오! 무사히 돌아오셨군요! 메이드 버거님도 건강해 보이셔서 다행이네요.,기사버거,메이드버거,똥강아지,,,
기사버거,다른 버거의 정보를 얻으셨다고 해서 왔습니다.,기사버거,메이드버거,똥강아지,,,
징맘,네...그런데 조금 큰일 난거 같아요..,기사버거,메이드버거,똥강아지,,,
기사버거,왜그러시죠?,기사버거,메이드버거,똥강아지,,,
징맘,정보의 출처가 수배서 거든요..,기사버거,메이드버거,똥강아지,,,
기사버거,네ㅔㅔㅔㅔ? 그게 무슨 소리에요?,기사버거,메이드버거,똥강아지,,,
징맘,"말 그대로 입니다. 수배서에 적힌걸 읽어드리자면.. ""저희 도시 뒷골목에 까만 머리에 까만 옷 , 그리고 까만 햄버거를 머리에 올린 자를 토벌해 주세요"" 라고 쓰여있네요.",기사버거,메이드버거,똥강아지,,,
메이드버거,그럼 나쁜 사람 아니예요..? 혹시 깡패라던가...,기사버거,메이드버거,똥강아지,,,
징맘,일단 적혀있는 행색을 보니 기네스 버거님이 확실한데.....정확한건 도시로 가서 수배 의뢰인을 만나봐야 알 것 같네요.,기사버거,메이드버거,똥강아지,,,
기사버거,알겠습니다. 그래서 거기가 어디죠..?,기사버거,메이드버거,똥강아지,,,
징맘,"저희 왁타대륙에 하나뿐인 항구도시 ""하치키타치"" 입니다.",기사버거,메이드버거,똥강아지,,,
메이드버거,도시 이름이 꼭 사람 우는 소리같네요...,기사버거,메이드버거,똥강아지,,,
징맘,"아무튼, 수배자 토벌 의뢰를 정식으로 수락하기 위해서는 모험가 자격증이 필요한데..지난번에 비챤님께서 등록을 해주셨습니다.",기사버거,메이드버거,똥강아지,,,
기사버거,역시 비챤님이 알잘딱이 좋으시군요.,기사버거,메이드버거,똥강아지,,,
징맘,"여기 모험가 자격증이랑 수배서 그리고 지도입니다. 도시로 가셔서 의뢰인인 루석바의 주인장 ""해루석""님을 찾아가시면 됩니다. ",기사버거,메이드버거,똥강아지,,,
징맘,그리고 가시기 전에 장비와 소모품 새로 챙기시고 준비가 되시면 제게 다시 말을 걸어주세요!,기사버거,메이드버거,똥강아지,,,
기사 & 메이드,"네, 알겠습니다.",기사버거,메이드버거,똥강아지,,,
