title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,해루석님!!,,기사버거,,,,
해루석,"<?sfx=해루석_ 아 오셨군요>아, 오셨군요. 몇분 더 늘어나셨군요. 그나저나 여길 다시 오신거보니 소식을 들으셨나보군요..",,,,,,
기네스버거,그래서 해적버거는 어딨는거야?,기네스버거,,해루석,,,
해루석,<?sfx=해루석_ 음..그렇군요>지난번에 오셨을때는 출입 통제가 되어있던 동쪽 항구에 있습니다.,기네스버거,,해루석,,,
메이드버거,근데 정부가 해결해주는거 아니였나요...?,기네스버거,메이드버거,해루석,,,
해루석,그게..정부쪽에서 인력이 부족하다고 여기 배치되어있는 인원을 줄여버렸습니다.,,해루석,,,,
해루석,그때문에 해적들간에 싸움은 더 심해지고 있습니다.,,해루석,,,,
해루석,그래서 정부 인원이 많이 없어서 출입 통제도 막지 않게되었습니다.,,해루석,,,,
해루석,지금이라면 항구까지 자유롭게 통행이 가능할 겁니다.,,해루석,,,,
메이드버거,얼른 싸움을 멈추러 가요!,,메이드버거,,,,
