title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,여기가...알현실인가...?,,기사버거,,,,
진짜 징버거?,호랑이굴에 스스로 들어오다니 찾아다닐 수고를 덜었구나!,,버거두,,,,
기네스버거,"역시 너였구나..? 자칭 ""진짜"" 징버거라고 하는놈이..",기네스버거,메이드버거,밥버거,,,
메이드버거,근데..아무리봐도 저희랑은 똑같이 생긴부분이 단 1도 찾아볼수 없는데요?,기네스버거,메이드버거,밥버거,,,
밥버거,그러게 말입니다. 예술적감각이 하나도 없이 생겼잖아요!,기네스버거,메이드버거,밥버거,,,
애송이버거,띠용띠용!!,애송이버거,해적버거,기사버거,,,
해적버거,진짜 저건 슛코해야겠는걸...?,애송이버거,해적버거,기사버거,,,
기사버거,그리고 저희보다는 형님을 닮으셨네요...그냥 버거두라고 부르죠.,애송이버거,해적버거,기사버거,,,
,(단체로 끄덕인다),애송이버거,해적버거,기사버거,,,
버거두,날 뭐라부르든 상관없다!!,,버거두,,,,
버거두,박사의 실패로 흩어진 네놈들을 다시 확보하기위해 여러 방해를 했지만 번번히 실패했지!,,버거두,,,,
버거두,"이번에야말로 니놈들을 모두 흡수하고 내가 ""진짜""징버거가 되는거다!!",,버거두,,,,
기사버거,역시 다롱이나 다른 나쁜짓을 한게 당신이였군요!,,기사버거,,,,
기네스버거,니는 도대체 왜 그렇게까지해서 우리(징버거)가 되고싶은건데..?,,기네스버거,,,,
버거두,후훗..궁금한가...?,,버거두,,,,
버거두,그렇다면 말해주지...,,버거두,,,,
버거두,어느날부턴가 나는 남들과 다르다는걸 알게되었지...,,버거두,,,,
버거두,그러다가 징버거의 방송을 보면서 깨달았다...,,버거두,,,,
버거두,"'아, 나는 징버거구나' 그 날 이후로 징버거가 되기위해 부단히도 노력했다...",,버거두,,,,
버거두,"그녀의 사랑 , 친구 , 성격 그 모든것들은 내 것으로 만들기 위해!",,버거두,,,,
버거두,그리하여 처음 시도했던게 인격흡수였는데 멍청한 박사 때문에 실패해버렸지!!!,,버거두,,,,
버거두,뭐..상관없어..지금 이 자리에서 니놈들을 때려눕히고 흡수하면 그만이니까..,,버거두,,,,
기네스버거,그냥 미친놈인데?,기사버거,,기네스버거,,,
기사버거,저도 동감이에요.,기사버거,,기네스버거,,,
애송이버거,띠용띠용...,애송이버거,,메이드버거,,,
메이드버거,애송이도 기분이 나쁘다네요...키모...,애송이버거,,메이드버거,,,
밥버거,오...신이시여...,밥버거,,해적버거,,,
해적버거,넌 진짜 안되겠다...슛코하자...,밥버거,,해적버거,,,
