title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
징맘,장로님!! 야채 수확하고 왔습니다.,똥강아지,,장로강아지,,,
장로강아지,오..! 무사히 돌아왔구나...응..?! 그 뒤에 계신분은 설마..?!!,똥강아지,,장로강아지,,,
징맘,네! '기사버거'님이십니다!,똥강아지,,장로강아지,,,
기사버거,장로님 안녕하세요~,기사버거,,장로강아지,,,
장로강아지,아이고~기사버거님 어서오세요! 반갑습니다.,기사버거,,장로강아지,,,
기사버거,징맘에게 제가 하늘에서 떨어진 이유를 알 수 있다고 해서 찾아왔습니다. 혹시 알고계신가요?,기사버거,,장로강아지,,,
장로강아지,저도 정확하게는 모르지만...며칠전부터 버거님이 행방불명이 되셨습니다..,기사버거,,장로강아지,,,
장로강아지,저희도 여러방면으로 찾아봤지만 찾을 수 없었죠...,기사버거,,장로강아지,,,
장로강아지,그러던 와중에 오늘 하늘에서 빛이 나더니 무언가가 떨어졌습니다.,기사버거,,장로강아지,,,
장로강아지,그리고 잠시후에 여러 모습을 하신 다른 버거님들이 저희 마을을 찾아오셨죠...,기사버거,,장로강아지,,,
기사버거,저말고 다른 버거들도 있는건가요..?,기사버거,,장로강아지,,,
장로강아지,예..각자 다른 모습을 하신 버거님이셨습니다.,기사버거,,장로강아지,,,
기사버거,혹시 지금 마을에 있나요?,기사버거,,장로강아지,,,
장로강아지,안타깝게도 모두 마을을 떠나셔서 저희도 정확한 행방은 모르겠습니다...죄송합니다..,기사버거,,장로강아지,,,
기사버거,아..그럼 어쩔 수 없네요...,기사버거,,장로강아지,,,
장로강아지,"기사버거님 죄송하지만, 부탁...하나만 들어주시겠습니까...?",기사버거,,장로강아지,,,
기사버거,네? 어떤 부탁이요?,기사버거,,장로강아지,,,
장로강아지,'오리지날 버거님'이 행방불명된 이후에 저희가 버거님의 반려견인 다롱이를 돌보고 있었습니다. ,기사버거,,장로강아지,,,
장로강아지,근데..오늘 다른 버거님들이 떨어지면서 갑자기 폭주하여 저희의 힘만으로는 도저히 막을 수 없게 되었습니다.,기사버거,,장로강아지,,,
기사버거,앞에 다녀간 다른 버거들에게는 부탁 해보셨어요?,기사버거,,장로강아지,,,
장로강아지,"예...모두 부탁을 드렸지만..어떤 분은 관심이 없다던지 , 어떤 분은 무섭다고 하시고 어떤 분은 꿈을 이루기위해 시간낭비 할 수 없다고 하시더군요. ",기사버거,,장로강아지,,,
장로강아지,그 외에도 여러 이유가 있으셨지만...모두 거절하고 각자의 길을 가셨습니다..,기사버거,,장로강아지,,,
기사버거,그럼 제가 막아볼게요! 다롱이는 어디에 있죠?,기사버거,,장로강아지,,,
장로강아지,아이고..감사합니다. 기사버거님! 다롱이는 지금 똥강아지 초원에 있습니다. 그리고 가시기전에 옆에 가셔서 장비와 물약을 보급하시고 준비가 되시면 저에게 다시 말을 걸어주세요.,기사버거,,장로강아지,,,
기사버거,감사합니다! 장로님! (장비와 물약을 보급하러가자),기사버거,,장로강아지,,,
