title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,해루석님~! 의뢰 처리 완료했습니다!,기사버거,,해루석,,,
해루석,"<?sfx=해루석_ 아 오셨군요>아, 무사하셨군요. 감사합니다. 옆에 계신분이 설마..?",기사버거,,해루석,,,
기사버거,"네, 맞아요. 기네스버거님이세요. (기네스에게 속삭이며) 얼른 사과해요.",기사버거,,해루석,,,
기네스버거,그...미..미..미..미안하게 됐어...나 때문에 이런저런 피해 입혀서..,기네스버거,,해루석,,,
해루석,<?sfx=해루석_ 음..그렇군요>이렇게 일부러 사과까지 해주시니 괜찮습니다. ,기네스버거,,해루석,,,
해루석,그리고 사실 저는 기네스버거님께서 하신 일을 알고있어서 그 오해를 풀고자 의뢰부탁을 드린거기도 하구요. 그리고 뢴트게늄을 이용해서 다른 상인들과의 오해도 풀고자 합니다.,기네스버거,,해루석,,,
뢴트게늄,<?sfx=[뢴트게늄111] 버거님1>내가..? 나는..버거님들 따라가고싶은데..,기네스버거,뢴트게늄,해루석,,,
해루석,"<?sfx=해루석_ 아, 들어가세요>당신! 그저 버거님들 사이에 끼고싶을 뿐이지 않습니까! 잔말 말고 따라오시죠.",기네스버거,뢴트게늄,해루석,,,
뢴트게늄,<?sfx=[뢴트게늄111] 버거님6>잠시만! 버거님께 작별인사라도!,기네스버거,뢴트게늄,해루석,,,
해루석,<?sfx=해루석_ 음..그렇군요>알겠습니다.,기네스버거,뢴트게늄,해루석,,,
뢴트게늄,<?sfx=[뢴트게늄111] 버거님6>기네스버거님! 짧은 시간이였지만 당신과 함께한 시간 정말 즐거웠습니다! 이건 선물이예요!,기네스버거,뢴트게늄,해루석,,,
,<?sfx=item>-뢴트게늄의 가호를 얻었다-,기네스버거,뢴트게늄,해루석,,,
기네스버거,이건..?,기네스버거,뢴트게늄,해루석,,,
뢴트게늄,<?sfx=[뢴트게늄111] 버거님6>제가 언제 어디서나 지켜드리겠습니다요! 그럼 나중에 다시만나요!,기네스버거,뢴트게늄,해루석,,,
기네스버거,그래...고마워...,기네스버거,뢴트게늄,해루석,,,
