title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
메이드버거,징맘님 무슨일이예요...?,,메이드버거,,,,
징맘,다음 인격의 행방을 찾았는데...그게..,메이드버거,,징맘,,,
기네스버거,뭔데 그래 꾸물꾸물거리지말고 빨리 말해!,메이드버거,기네스버거,징맘,,,
징맘,지난번에 기네스버거님을 데리러간 항구도시에 있다고 합니다...,메이드버거,기네스버거,징맘,,,
기네스버거,뭐야 잘됐네 거긴 아는 사람도 있으니까..근데 뭐가 문제야?,메이드버거,기네스버거,징맘,,,
징맘,그게..지난번에 가셨을 때 해적들이 패권다툼을 하고 있다고 하셨잖아요...그 다툼을 하고 있는게 버거님의 다른 인격이라고 합니다..,메이드버거,기네스버거,징맘,,,
기사버거,네?! 그게 정말인가요?,기사버거,기네스버거,징맘,,,
징맘,네...확실합니다...저희쪽 몇몇 똥강아지들이 해적이 되었다는 소문만 들었는데...그럴줄은...,기사버거,기네스버거,징맘,,,
밥버거,그럼 한시라도 빨리가서 설득을 해야하지 않겠습니까?,,밥버거,,,,
기사버거,그렇네요..그래도 해적이라니...기네스 버거님 같은 인격이 또 있는건가요...?,기사버거,기네스버거,징맘,,,
기네스버거,뭐! 내 성격이 어때서!! 그녀석도 뭔가 이유가 있겠지!,기사버거,기네스버거,징맘,,,
징맘,어쨌든 다들 필요한 물품 챙기시고 저에게 말을 걸어주세요!,기사버거,기네스버거,징맘,,,
