title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
아이네,<?sfx=[아이네_] ﻿너무 잘 됐다!>잘 됐네요 교수님! 이제 헤어지는거네요?,,아이네,,,,
밥버거,"아이네님, 고마웠습니다. 제가 가장 힘들때, 먼저 다가와 줘서, 그리고 항상 신경 써줘서요..또 놀러와도 되겠지요?",아이네,,밥버거,,,
아이네,<?sfx=[아이네] ﻿오 그럴까>그럼요! 언제든지 놀러와도 되죠!,아이네,,밥버거,,,
기사버거,아이네님 정말 고맙습니다. 덕분에 일이 잘 해결됐습니다,기사버거,,아이네,,,
아이네,"잘 해결되서 다행이야 더 도와주고 싶지만, 나는 여길 떠날 수가 없어 여긴 항상 조난 당한 사람들이 나타나거든 교수님을 잘 부탁해..",기사버거,,아이네,,,
기사버거,알겠습니다.,기사버거,,아이네,,,
아이네,"<?sfx=[아이네] 언니가 응원할게!>대신, 이걸 가져가. 내 힘을 조금 담아놨어.",기사버거,,아이네,,,
,<?sfx=item>-아이네의 가호를 획득했다-,,,,,,
아이네,"오늘은 너무 늦었으니까, 편히 쉬고 내일 내려가는게 어때?",기사버거,,아이네,,,
메이드버거,그래도 될까요?,기사버거,메이드버거,아이네,,,
기사버거,감사합니다. 끝까지 신세를 지네요.,기사버거,메이드버거,아이네,,,
