title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
주르르,<?sfx=2챕터 8[주르르] ﻿헉_2>기사 버거땅 진짜 잘 싸우는데? 어때 기사 버거땅? 혹시 우리 카페 경호원으로 취직 할 생각 있어? 내가 잘해줄께 응? 응?,기사버거,,주르르,,,
기사버거,죄송합니다.. 주르르님 저희 아직 갈길이 먼거 아시잖아요..,기사버거,,주르르,,,
주르르,<?sfx=2챕터 66[주르르] 죠단다요 죠단~>농담이야~농담~ 이거 받아 버거땅!,기사버거,,주르르,,,
,<?sfx=item>-주르르의 가호를 받았다-,,,,,,
메이드버거,이거는..?,기사버거,메이드버거,주르르,,,
주르르,"<?sfx=2챕터 28[주르르] 그러면...>나는 카페 일 때문에 같이 가서 도와주긴 힘들지만, 버거땅이 날 필요를 하면 언제든지 사용하면 도와줄게!",기사버거,메이드버거,주르르,,,
주르르,그리고 다음에는 다른 버거땅들이랑도 놀러오는거야! 알겠지?,기사버거,메이드버거,주르르,,,
기사버거,알겠습니다! 주르르님! 꼭 모두를 찾아서 오겠습니다.,기사버거,메이드버거,주르르,,,
메이드버거,기사버거님 이젠 우린 어디로 가는건가요?,기사버거,,메이드버거,,,
기사버거,"일단은 강아지들이 모였는지 똥강아지 마을로 돌아가요. 일단 그쪽에서 정보를 얻고, 다른 버거들을 찾으러 가죠!",기사버거,,메이드버거,,,
메이드버거,그래요! ,기사버거,,메이드버거,,,
