title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,다른 버거들의 정보를 찾아봐주신거예요..?,기사버거,,장로강아지,,,
장로강아지 ,네..기사버거님 정리가 되면 좀 있다 징맘에게 가서 들으시면됩니다.,기사버거,,장로강아지,,,
비챤,<?sfx=1챕터84 [비챤_] 어!>맞다! 버건니 아까도 말했지만 모습이랑 말투가 왜그래?,기사버거,,비챤,,,
기사버거,네..설명해드리겠습니다..,기사버거,,비챤,,,
나레이션,(기사버거는 비챤에게 그동안 있었던 일을 설명했다),기사버거,,비챤,,,
비챤,<?sfx=1챕터87 [비챤] 아 도시요>이유는 모르는거지?,기사버거,,비챤,,,
기사버거,네...이제부터 다른 인격의 버거들을 찾아서 알아야합니다...혹시 도와주실수 있으신가요..?,기사버거,,비챤,,,
비챤,<?sfx=1챕터89 [비챤_] 음..->나도 도와주고 싶은데 다른 토벌의뢰가 많아서 도와주기 힘들거 같아..미안...언니...,기사버거,,비챤,,,
기사버거, 그..런가요..? 그럼 어쩔 수 없겠군요..,기사버거,,비챤,,,
비챤,<?sfx=1챕터91 [비챤_] 이거>대신 이거 가져가!,기사버거,,비챤,,,
기사버거,이게 뭐죠..?,기사버거,,비챤,,,
,<?sfx=item>-비챤의 가호를 받았다-,,,,,,
비챤,"<?sfx=1챕터94 [비챤_] 챠니 기합>그 돌에 내 힘을 조금 담아놨어. 그걸 사용하면 내가 도와주는 느낌이 들거야! 다만, 한번 밖에 쓰지 못할거야..",기사버거,,비챤,,,
기사버거,고맙습니다. 비챤님...,기사버거,,비챤,,,
비챤,<?sfx=1챕터96 [비챤_] 안녕_바바이>그럼 나는 다음 의뢰때문에 먼저 가볼게! 꼭 다른 버건니들 찾길 바래! 빠이빠이~,기사버거,,비챤,,,
기사버거,조심히 가세요!,기사버거,,,,,
