title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
경호견,멈춰! 이 앞은 통행금ㅈ...어? 버거..님...은..아니군 비슷하지만 보스와는 무언가 다르군 신원을 밝혀라!,,경호견,,,,
기사버거,우리는 징버거님의 다른 인격체들 입니다. 당신들 기네스단의 토벌 의뢰를 받고 찾아왔습니다. ,기사버거,경호견,,,,
기사버거,볼일이 있는건 보스인 기네스버거님이시니 길을 비켜주시죠!,기사버거,경호견,,,,
메이드버거,기사님 그렇게 솔직하게 다 말해버리시면 어떡해요ㅠㅠ,기사버거,경호견,메이드버거,,,
기사버거,제가 틀린말은 안하지 않았나요..?,기사버거,경호견,메이드버거,,,
메이드버거,그게 문제가 아니잖아요..ㅠㅠ,기사버거,경호견,메이드버거,,,
경호견,다른 버거님들이라도 길을 비켜드릴순 없습니다. ,기사버거,경호견,메이드버거,,,
경호견,무엇보다 토벌이라니..보스의 꿈을 위해서도 더욱 그럴수없겠군요! 지나가시려면 저를 먼저 쓰러트리셔야 할겁니다!!,기사버거,경호견,메이드버거,,,
기사버거,그렇다면 덤비시죠!,기사버거,경호견,메이드버거,,,
메이드버거,이렇게 될 줄 알았어요..ㅠㅠ,기사버거,경호견,메이드버거,,,
