title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
,<?sfx=item>-릴파의 가호를 받았다(?)!-,,,,,,
기사버거,릴파님은 여전하시네요...,,기사버거,,,,
기네스버거,그러게..어우 기운빠져..,기사버거,,기네스버거,,,
해적버거,그래도 그게 릴파의 매력이지 징요호호호호,기사버거,해적버거,기네스버거,,,
메이드버거,그래서 이제 저희가 이제 가야할 목적지가 확실해진거네요..?,,메이드버거,,,,
해적버거,맞아! 내 배타고가면 갈 수있을거야,,해적버거,,,,
기사버거,일단 똥강아지 마을로 돌아가서 장로님께 말씀드리고 만반의 준비를 해서 가보죠.,,기사버거,,,,
밥버거,드디어 이 여정의 마지막 종착점이 될수도 있겠군요..,,밥버거,,,,
애송이버거,띠용!,,애송이버거,,,,
해적버거,그럼 오랜만에 똥강아지 마을로 돌아가볼까?,,해적버거,,,,
기사버거,돌아가면 장로님께 사과부터 드리세요!,기사버거,,해적버거,,,
해적버거,알겠어...ㅎ,기사버거,,해적버거,,,
,-해적버거가 파티에 합류했다!-,,,,,,
