title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,"당신이 루석바의 주인장 ""해루석""님이신가요?",기사버거,,해루석,,,
해루석,"<?sfx=[해루석]아 안녕하세요>아, 맞습니다만 누구신가요..?",기사버거,,해루석,,,
기사버거,저희는 이 수배서를 보고 찾아왔습니다.,기사버거,,해루석,,,
해루석,<?sfx=해루석_ 아 오셨군요>아! 드디어 수배 의뢰를 받아주신분이 오셨군요.,기사버거,,해루석,,,
기사버거,그래서 이 수배서에 대해 자세한 이야기를 듣고 싶어서 찾아왔습니다.,기사버거,,해루석,,,
해루석,<?sfx=해루석_ 음..그렇군요>알겠습니다. 조금 긴 이야기가 될지도 모르겠군요..,기사버거,,해루석,,,
해루석,저희 도시는 대부분이 관광객입니다. 저와 같은 장사꾼들은 그런 관광객들로부터수입을 내지요. 하지만 어느날 그녀가 이 도시로 찾아왔고 기네스단 이라는 본인만의 세력을 조직하고 뒷골목을 장악했습니다.,기사버거,,해루석,,,
해루석,사실 거기까진 그렇게 큰 문제가 되진 않습니다만..그녀의 조직의 안좋은 소문들이 관광객들 사이로 퍼지기 시작하면서 저희 도시에 관광객이 뚝! 끊겨버렸습니다! ,기사버거,,해루석,,,
해루석,그래서 저희 같은 장사꾼들은 수입이 떨어지기 시작하여 하루 살기도 힘든 신세가 되어버렸습니다!! 제발 뒷골목에서 그녀를 쫓아내주세요!,기사버거,,해루석,,,
메이드버거,정말 힘드시겠어요...혹시 그녀가 왜 이런일을 하는지는 아시나요?,기사버거,메이드버거,해루석,,,
해루석,<?sfx=[해루석] 저는 괜찮다고 봐요>저희도 그녀가 무슨 목적으로 그러는지는 모릅니다. 저희는 그저 그녀가 뒷골목에서만 나와준다면 상관없습니다.,기사버거,메이드버거,해루석,,,
기사버거,걱정마세요! 저희도 그녀를 꼭 만나야만해서 해결해드리겠습니다! 그리고 일이 끝나면 그녀의 처분에 대해서는 저희에게 양도해주시겠어요?,기사버거,메이드버거,해루석,,,
해루석,<?sfx=해루석_ 음..그렇군요>알겠습니다. 그녀에 대한 처분은 여러분들께 맡기겠습니다.,기사버거,메이드버거,해루석,,,
메이드버거,혹시 주의해야될게 있나요? 저는 많이 무서워서요..,기사버거,메이드버거,해루석,,,
해루석,"<?sfx=해루석_ 음..그렇군요>아, 그녀의 수하로 있는 경호견과 부두목으로 있는 ""뢴트게늄""을 조심하십쇼 뢴트게늄 이녀석도 원래 이런놈이 아니였는데 그녀를 처음보고 한눈에 반해버려서 기네스단에 들어가버렸습니다..",기사버거,메이드버거,해루석,,,
기사버거,알겠습니다! 정보 감사합니다!,기사버거,메이드버거,해루석,,,
해루석,"<?sfx=[해루석] 저는 괜찮다고 봐요>별 말씀을요. 아, 그리고 항구쪽은 지금 해적들의 패권싸움으로 출입금지라서 갈 수 없습니다.",기사버거,메이드버거,해루석,,,
기사버거,그렇군요..여러모로 문제가 많네요..,기사버거,메이드버거,해루석,,,
해루석,"<?sfx=해루석_ 아, 들어가세요>하하, 그래도 해적들은 정부에서 해결해주고 있어서 다행입니다. 준비가 끝나시면 저에게 말을 걸어주세요. 그녀가 있는 뒷골목으로 안내해드리겠습니다.",기사버거,메이드버거,해루석,,,
