title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,오리지날!! 저희 왔어요!,,기사버거,,,,
징버거,다들 무사했구나!! 다행이다..,,징버거,,,,
밥버거,저기...햄이네 박사님..? 혹시 저희는 언제쯤 오리지날과 하나가 될 수 있는건가요...?,밥버거,,햄이네,,,
햄이네,음...아무래도 인격분리기 장치를 인격결합기로 다시 만드는데는 시간이 좀 걸릴것 같네...미안하다네..,밥버거,,햄이네,,,
징버거,애들아...미안해...내 약한 마음때문에...괜히 이런 고생들을 하게해서..,,징버거,,,,
기사버거,오리지날! 그만 미안해해도 됩니다. 저희도 나름 재밌는 여행을 했으니까요. 다들 그렇죠?,기사버거,,징버거,,,
기네스버거,그래~아주 색다른 경험이였어!,,기네스버거,,,,
메이드버거,저희를 좋아하고 사랑해주는 사람들도 잔뜩 만났구요!,,메이드버거,,,,
해적버거,그러니까 그만 사과해 오리지날!,,해적버거,,,,
기사버거,아! 그러고보니 그동안 만났던 다른 이세돌 맴버분들이나 뢴트게늄님이 한번 다같이 놀러오라고 했습니다.,,기사버거,,,,
기네스버거,그럼 다같이 한번 쭉! 돌아다녀볼까? 우리가 어떻게 여행했는지 오리지날에게도 알려줄겸!,,기네스버거,,,,
밥버거,오! 그거 좋겠네요!,밥버거,,기네스버거,,,
애송이버거,띠용사건!!,,애송이버거,,,,
메이드버거,애송이도 대찬성이라네요~,메이드버거,,애송이버거,,,
햄이네,그게 좋겠다네! 장치가 준비되면 내가 나중에 부르겠네!,,햄이네,,,,
징버거,고마워 햄이네야..그럼 일단...똥강아지들한테 인사부터 해야겠지...?,,징버거,,,,
기사버거,그럼 돌아갑시다! 똥강아지 마을로!!,,기사버거,,,,
