title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
장로강아지,다들 무사히 돌아오셨군요! 어라? 세구님도 계시네요?,,장로강아지,,,,
기사버거,거인의 정체가 세구님이셨어요.,기사버거,,장로강아지,,,
기네스버거,자...이제 어쩌다가 그렇게 된건지 설명을 해야겠는데..?,,기네스버거,,,,
고세구,그..그냥..지나가다가 누가 커지는 약이라길래 좋구나 하고 받아서 먹었더니 이렇게 돼버려스빈다...,기네스버거,,고세구,,,
기네스버거,도대체 왜 아무거나 주워먹는거야! 그것도 모르는 사람이 주는 수상한 약을!,기네스버거,,고세구,,,
고세구,<?sfx=[고세구] 이이익>이이...이이이익!! 나도 커지고 싶었단말이다!!,기네스버거,,고세구,,,
메이드버거,세구님은 그대로도 충분히 매력있으세요.,,메이드버거,,,,
애송이버거,띠용띠용!,메이드버거,,애송이버거,,,
메이드버거,킹받는건 여전하다고 하시네요...애송이가 할 말은 아니지만요..ㅎㅎ,메이드버거,,애송이버거,,,
애송이버거,워익!!,메이드버거,,애송이버거,,,
고세구,아무튼! 애송이버건니 사과의 의미로 이거 줄게!,,고세구,,,,
,<?sfx=item>-고세구의 가호를 받았다!-,,,,,,
고세구,<?sfx=[고세구] 바바루~>필요할때 사용하고 그럼 나는 이제 간돠~ 빠빠루~,,고세구,,,,
메이드버거,조심히가세요. 세구님~,,메이드버거,,,,
