title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,징맘님 정보는 정리 되셨나요?,기사버거,,똥강아지,,,
징맘,"아, 네 기사버거님 어느정도 정리가 되었습니다.",기사버거,,똥강아지,,,
기사버거,그럼 이제 저는 어디로 가야되죠?,기사버거,,똥강아지,,,
징맘,먼저 저희 왁타대륙에서 제일 큰 도시! 부이아르체트에 있는 메이드 카페입니다.,기사버거,,똥강아지,,,
기사버거,메이드...카페...요..? 그런곳에 제가 왜...?,기사버거,,똥강아지,,,
징맘,그곳에서 일을 하고있는 메이드 복장의 버거님을 봤다고하네요.,기사버거,,똥강아지,,,
기사버거,알겠어요! 얼른 출발하죠!,기사버거,,똥강아지,,,
징맘,어...저는 다롱이랑 싸우다가 다쳐서 여기서부터는 기사버거님 혼자 다녀오셔야 될거같아요.. 대신! 지도를 그려드릴테니 그걸 보고 갔다와주세요!,기사버거,,똥강아지,,,
기사버거,어쩔수없네요..몸조리 잘하고 있으세요!,기사버거,,똥강아지,,,
징맘,가시기전에 장로님께 들렸다가 모든 준비가 되시면 저에게 말을 걸어주세요.,기사버거,,똥강아지,,,
기사버거,알겠습니다!,기사버거,,똥강아지,,,
