title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
애송이버거,띠용?!,,애송이버거,,,,
기네스버거,이 목소리는...?,,기네스버거,,,,
햄이네,나는 햄이네 박사라네!,,햄이네,,,,
기사버거,햄이네님...?,기사버거,,햄이네,,,
밥버거,박사님이 이 사건의 범인이셨습니까?,,밥버거,,,,
햄이네,"엣헴, 이 장치로 말할거 같으면 인격분리기라네! 어떠한가 내 완벽한 발명품이!",기사버거,,햄이네,,,
기사버거,그럼 저희가 이렇게 나뉜것도 이 장치때문이군요...,기사버거,,햄이네,,,
햄이네,그렇다고 볼 수 있지!,기사버거,,햄이네,,,
기사버거,저희에게 왜 이런일을 저지르셨나요...?,기사버거,,햄이네,,,
햄이네,나도 부탁 받은거 뿐이라네! 나의 이 천재성을 증명하기위해 거절 할 수 없었지! 무엇보다 사탕을 준다했네!,기사버거,,햄이네,,,
해적버거, <?bgm=Stage7-2>사..탕에 넘어간거구나...,,해적버거,,,,
햄이네,아..아니라네!!,,햄이네,,,,
기사버거,혹시 오리지날과 저희를 다시 합쳐주실순 없나요...?,기사버거,,햄이네,,,
햄이네,안된다네! 무엇보다 이미 사탕을 받아버렸다네!,기사버거,,햄이네,,,
기네스버거,사탕때문에 넘어간거 맞구나...,,기네스버거,,,,
햄이네,아..아무튼!! 키메라 1호! 가서 침입자들을 없애주게!,,햄이네,,,,
