title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,해적버거님 그래서 '우리'의 목적이 뭐죠?,,기사버거,,,,
해적버거,'우리'(징버거)의 목적이 뭔지 다들 알고있잖아? 오리지널과 하나가 되는 것! 그거 하나밖에 없잖아?,기사버거,,해적버거,,,
기사버거,그럼 왜 여기서 이런 분쟁을 일으키신거예요.,기사버거,,해적버거,,,
해적버거,당연히 우리를 이렇게 만든놈을 찾기 위해서지! 뭐 분쟁을 일으키려고 한건 아니지만...,기사버거,,해적버거,,,
기네스버거,우리를 이렇게 나눠버린 놈을 찾은거야?!,기사버거,기네스버거,해적버거,,,
해적버거,정확히 누군인지는 모르지만 어디있는지는 찾았지!,기사버거,기네스버거,해적버거,,,
기사버거,그게 어디입니까?,기사버거,기네스버거,해적버거,,,
해적버거,바로 이 바다건너 마무스타치섬에 있는 성에 있다는 정보를 얻었지!,기사버거,기네스버거,해적버거,,,
해적버거,그래서 바로 건너갈라고 했는데 릴파가 놀아달라고 안놔주다가 결국 싸우게 돼버렸어...진짜 릴트리버...!!,기사버거,기네스버거,해적버거,,,
기네스버거,릴파....대답을 피한 이유가 있었구나.....?,기사버거,기네스버거,해적버거,,,
