title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
메이드버거,무슨 지진이라도 난거 같네요..,,메이드버거,,,,
기사버거, 가까이서 보니 더 크네요...그런데 이 다리 어디서 많이 본거 같지 않나요..?,,기사버거,,,,
기네스버거,음...이 열받는 니삭스...아! 이거 혹시 고세구 아니야?,기사버거,,기네스버거,,,
밥버거,맞는거 같네요! 제 첫 작품이 고세구님이였죠!,기사버거,밥버거,기네스버거,,,
애송이버거,(위를 가리키며) 띠용띠용!,,애송이버거,,,,
메이드버거,위를 보라고..? 히익!! 눈마주쳤어요!,메이드버거,,애송이버거,,,
300M고세구,<?sfx=[고세구] 버거언니>(아래를 보며) 어? 버건니다! 근데 웰케 많지..? 뭐 상관없나 나도 이렇게 커졌는데 하이 빵가루~ 버건니들~,,,300고세구,,,
기사버거,안녕하세요!! 세구님!! 저는 징버거님의 인격중 하나인 기사버거라고 합니다!! 사람들이 무서워해서 그런데 그만둬주실 수 있나요!!,기사버거,,300고세구,,,
300M고세구,<?sfx=[고세구] 싫어!>싫어!! 이렇게 재밌는데 그만둘수 없쥐!! 고하하하하하하하!,기사버거,,300고세구,,,
기네스버거,그냥 원래 상태로 돌아가는걸 모르는거 아니야?,기네스버거,,300고세구,,,
300M고세구,<?sfx=[고세구] 이이익>(뜨끔) 그..그건 그렇고! 버건니들...내가 이렇게 커져버렸는데...이제 누가 언니지....?,기네스버거,,300고세구,,,
기네스버거,저 쿠소가키가!! 그래도 우리가 언니잖아!,기네스버거,,300고세구,,,
300M고세구,<?sfx=[고세구] 나 보다 더 크던가>그럼 나보다 더 크던가~,기네스버거,,300고세구,,,
밥버거,오...신이시여...,,밥버거,,,,
기사버거,예로부터 말 안듣는 애들은 맞으면서 크는 법이죠....,,기사버거,,,,
기네스버거,나도 동감이야..무엇보다 너무 열받는걸..?,,기네스버거,,,,
메이드버거,저도 처음으로 진심으로 싸우고 싶다는 생각이 들었어요...,,메이드버거,,,,
애송이버거,띠용띠용 김띠용!!,,애송이버거,,,,
기네스버거, 몇대 쥐어박으면 원래대로 돌아오겠지! 동생 참교육 들어간다!!,,기네스버거,,,,
