title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
징맘,기사 버거님! 메이드 버거님! 살아오셨군요! 용케도 기네스 버거님을 모셔 오셨네요?,,똥강아지,,,,
메이드버거,하하..정말 너무 힘들었어요..,메이드버거,똥강아지,,,,
기네스버거,그래서 다음은 누군데! 다른 녀석들도 나만큼 강했으면 좋겠는걸?,메이드버거,똥강아지,기네스버거,,,
징맘,"하하 아쉽게도, 밥버거님이에요. 제가 듣기론 밥버거님은 지금....",메이드버거,똥강아지,기네스버거,,,
기네스버거,"크리프 스튜디오에 있는거 아니였어? 크리프 스튜디오 유명하지, 예술을 사랑하는 사람들은 다들 거기로 가는거 아니였어?",메이드버거,똥강아지,기네스버거,,,
징맘,어..그게... 사실은..,메이드버거,똥강아지,기네스버거,,,
기사버거,무슨일이 있었나요? ,메이드버거,똥강아지,기사버거,,,
징맘,사실은 밥버거님이 실종 됐다는 소문을 들었습니다...,메이드버거,똥강아지,기사버거,,,
메이드버거,실...실종이요? 실종 된거면.. 못 찾는거 아닌가요??,메이드버거,똥강아지,기사버거,,,
징맘,그건 아니에요. 다행히 밥버거님이 최근에 목격됐다는 장소를 수소문 했거든요..,메이드버거,똥강아지,기사버거,,,
기네스버거,어딘데? 응? 어디야??,메이드버거,똥강아지,기네스버거,,,
징맘,호우호우 산 입니다.,메이드버거,똥강아지,기네스버거,,,
기네스버거,쓰읍..설마..내가 아는 그 호우호우 산 아니지?,메이드버거,똥강아지,기네스버거,,,
메이드버거,무...무슨일이라도 있나요?,메이드버거,똥강아지,기네스버거,,,
기네스버거,호우호우 산이면 이 왁타 대륙에서 가장 높고 험한 산으로 알려져있지,메이드버거,똥강아지,기네스버거,,,
징맘,"미지의 야생동물이 가득한 곳, 그래서 어떤 위협이 있을 지 예상이 안되는 곳이기도 하죠",메이드버거,똥강아지,기네스버거,,,
메이드버거,히익..그런 곳 까지는 왜 간걸까요?,메이드버거,똥강아지,기네스버거,,,
기사버거,글쎄요...? 그건 아무도 모르지 않을까요? 하지만 하나는 확실하네요. 저희는 호우호우 산으로 가야만해요.,메이드버거,똥강아지,기사버거,,,
메이드버거,으...싸움 다음에는 산행인가요...ㅜㅜ,메이드버거,똥강아지,기사버거,,,
징맘,여기 산까지 가는 지도를 드릴테니 준비되시면 출발하시죠!,메이드버거,똥강아지,기사버거,,,
