title,describe,Limg,Cimg,Rimg,Lexpression,Cexpression,Rexpression
기사버거,릴파님...?,,기사버거,,,,
릴파,<?sfx=[릴파] 아니 버건니>어? 버건니!!!!!!!!!!가 여러명?!!,,릴파,,,,
기네스버거,싸우고 있다는 해적이 릴파 너였어?,기네스버거,,릴파,,,
릴파,<?sfx=[릴파_] 마자!>맞아맞아! 어? 근데...나랑 싸우고 있는 사람도 버건니였는데..?,기네스버거,,릴파,,,
나레이션,기사버거는 그 동안의 일을 릴파에게 설명했다.,,,,,,
기네스버거,"그래서 우리는 해적버거를 데리러 온거야, 근데 릴파 너는 왜 해적버거랑 싸우고 있던거야?",기네스버거,,릴파,,,
릴파,<?sfx=[릴파] 그래!!>그..그런게 지금 뭐가 중요해! 얼른 이 싸움을 끝내야 다른 사람들에게 피해가 안가지!! ,기네스버거,,릴파,,,
기네스버거,(대답은 왜 회피하는거지..?),기네스버거,,릴파,,,
릴파,<?sfx=[릴파] 그래!>아무튼 버건니들!! 나한테 좋은 생각이 있어!!,기네스버거,,릴파,,,
기사버거,뭔가요..?,기네스버거,기사버거,릴파,,,
릴파,<?sfx=[릴파] 아니 버건니>내가 다른 해적강아지들 발을 묶어놓고 있을테니까 해적버건니 좀 상대해줘!,기네스버거,기사버거,릴파,,,
기사버거,음...일단 저희는 모두 같은 사람(징버거)이니 설득할 수 있을지 모릅니다. 그래도 안되면 어쩔수 없이 싸워야겠네요..,기네스버거,기사버거,릴파,,,
릴파,<?sfx=[릴파] 어 알겠어!>알겠어! 지금 해적버건니는 바다 위에 있으니까 내가 거기까지 태워다 줄게!,기네스버거,기사버거,릴파,,,
기사버거,감사합니다. 릴파님,기네스버거,기사버거,릴파,,,
릴파,<?sfx=[릴파] 아니 버건니>준비가되면 나한테 다시 말해줘야대!!!!!!!!,기네스버거,기사버거,릴파,,,
